Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,km/year,Brand,Model
Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,153000.0,10,1969.8,Tata,Nano LX SE
Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,558000.0,7,3147.5714285714284,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone
Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,474000.0,10,3548.7,Hyundai,i20 Magna Optional 1.2
Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,885000.0,10,4637.4,Hyundai,Elantra 2.0 SX Option AT
Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,1011000.0,8,6500.125,Toyota,Corolla Altis G AT
Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,425000.0,16,3625.3125,Hyundai,Elantra CRDi
Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,1095000.0,12,5892.0,Toyota,Innova Crysta 2.7 GX MT
Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,385000.0,10,7500.0,Hyundai,Xcent 1.1 CRDi S
Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,550000.0,12,6316.666666666667,Mahindra,Thar CRDe AC
Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,425000.0,10,5200.0,Maruti,Swift LDI
Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,330000.0,10,5300.0,Maruti,Swift Ldi BSIV
Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,385000.0,11,5968.181818181818,Maruti,Swift VDI
Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,360000.0,9,6000.0,Hyundai,Grand i10 Sportz
Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,399000.0,9,4333.333333333333,Volkswagen,Vento 2013-2015 1.6 Comfortline
Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,330000.0,7,2363.1428571428573,Renault,KWID RXT
Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,206999.99999999997,14,2285.714285714286,Hyundai,i10 Asta
Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,775000.0,14,8700.857142857143,Nissan,X-Trail SLX AT
Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,225000.0,14,2807.1428571428573,Maruti,Zen Estilo VXI BSIII
Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,1650000.0,7,3142.8571428571427,Toyota,Innova Crysta 2.4 GX MT 8S
Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,275000.0,14,5142.857142857143,Ford,Figo Diesel Titanium
Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,1000000.0,13,5000.0,Mercedes-Benz,New C-Class 200 CDI Classic
Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,250000.0,8,22250.0,Tata,Indica V2 eLS
Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,1350000.0,12,5472.0,Audi,A4 2.0 TDI Multitronic
Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,185000.0,17,3705.8823529411766,Honda,City ZX CVT
Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,815000.0,8,7875.0,Maruti,Ertiga SHVS VDI
Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,1050000.0,6,2166.6666666666665,Hyundai,Creta 1.4 E Plus Diesel
Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,965000.0,9,6192.111111111111,Mahindra,XUV500 W8 4WD
Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,348000.0,12,3764.8333333333335,Hyundai,i10 Sportz 1.2 AT
Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,692000.0,9,6229.555555555556,Nissan,Terrano XV D Pre
Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,646000.0,8,4662.5,Honda,Brio VX AT
Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,450000.0,18,12777.777777777777,Toyota,Innova 2.0 G1
Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,1175000.0,12,8666.666666666666,Toyota,Innova 2.5 VX 7 STR BSIV
Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,375000.0,12,7925.0,Maruti,Swift VDI
Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,450000.0,7,10000.0,Tata,Zest Revotron 1.2T XE
Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,482000.0,8,6868.0,Honda,Amaze SX i-VTEC
Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,280000.0,12,5861.416666666667,Ford,Figo Diesel ZXI
Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,311000.0,11,9058.0,Maruti,Ritz VDi
Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,325000.0,15,3466.6666666666665,Honda,City i VTEC E
Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,1390000.0,13,5769.2307692307695,BMW,5 Series 2003-2012 525d
Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,225000.0,15,6398.666666666667,Hyundai,i10 Sportz 1.2
Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,575000.0,8,2000.0,Hyundai,Grand i10 Sportz
Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,500000.0,8,2368.625,Honda,Amaze SX i-VTEC
Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,1650000.0,10,10700.0,Toyota,Fortuner 4x2 Manual
Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,550000.0,11,5181.818181818182,Ford,Ecosport 1.5 DV5 MT Titanium Optional
Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,810000.0,10,5800.0,Mahindra,XUV500 W8 2WD
Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,350000.0,9,3333.3333333333335,Honda,Amaze SX i-DTEC
Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,279000.0,11,3110.181818181818,Volkswagen,Polo Diesel Highline 1.2L
Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,345000.0,14,5000.142857142857,Hyundai,Verna Transform SX VGT CRDi
Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,445000.0,8,7750.0,Maruti,Wagon R VXI BS IV
Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,265000.0,14,4428.642857142857,Volkswagen,Polo Petrol Highline 1.6L
Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,380000.0,13,6073.692307692308,Hyundai,i20 1.4 CRDi Sportz
Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,465000.00000000006,10,3018.0,Hyundai,i20 Asta 1.2
Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,395000.0,7,4693.0,Datsun,GO Plus T Petrol
Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,980000.0000000001,14,2142.8571428571427,Audi,A4 3.0 TDI Quattro Premium
Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,270000.0,15,4400.0,Hyundai,i20 2015-2017 Asta
Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,241000.0,14,6703.571428571428,Maruti,Omni 5 Str STD
Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,390000.0,10,5300.0,Toyota,Etios Liva 1.2 G
Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,575000.0,12,5416.666666666667,Mahindra,XUV500 W8 2WD
Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,525000.0,10,4000.0,Hyundai,Verna 1.6 SX CRDI (O) AT
Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,1925000.0,7,4285.714285714285,Toyota,Innova Crysta 2.8 ZX AT
Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,391000.0,7,5436.142857142857,Maruti,Eeco 5 Seater AC
Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,215000.0,10,2550.0,Tata,Nano Twist XT
Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,335000.0,14,5077.714285714285,Honda,Civic 2006-2010 1.8 V MT
Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1111000.0,10,5500.0,Toyota,Innova 2.5 VX (Diesel) 7 Seater
Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,655000.0,8,4985.25,Nissan,Micra XV CVT
Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,700000.0,15,8533.333333333334,BMW,5 Series 2010-2013 525i
Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,750000.0,8,6875.0,Maruti,Vitara Brezza VDi
Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,1675000.0,10,5375.3,Mercedes-Benz,B Class B200 CDI
Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,1095000.0,6,1708.3333333333333,Hyundai,Verna CRDi 1.6 SX Option
Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,245000.00000000003,13,3374.923076923077,Maruti,Wagon R LXI BS IV
Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,323000.0,7,4669.142857142857,Tata,Nano XTA
Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,775000.0,10,4200.0,Mahindra,Scorpio VLX
Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,935000.0,15,1890.1333333333334,Mercedes-Benz,New C-Class 200 K AT
Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,325000.0,11,8172.727272727273,Maruti,Wagon R LXI CNG
Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,525000.0,17,2805.8823529411766,Honda,CR-V 2.4 MT
Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,725000.0,9,6111.111111111111,Volkswagen,Vento 1.5 TDI Comfortline AT
Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,747000.0,7,6326.428571428572,Maruti,Ciaz VXi Plus
Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,1325000.0,8,6750.0,Mahindra,XUV500 AT W10 FWD
Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,581000.0,8,3779.0,Maruti,Ritz VXI ABS
Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,260000.0,10,8850.0,Maruti,Alto K10 VXI
Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,1150000.0,5,2529.0,Hyundai,Verna VTVT 1.6 AT SX Plus
Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,160000.0,14,6741.785714285715,Maruti,Alto LXi BSIII
Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,1722000.0,9,3535.6666666666665,BMW,1 Series 118d Base
Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,600000.0,9,1333.3333333333333,Honda,Jazz 1.2 V CVT i VTEC
Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,395000.0,12,7381.5,Honda,Civic 2006-2010 1.8 V MT
Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,1795000.0,10,4496.5,Mercedes-Benz,New C-Class C 220 CDI Avantgarde
Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,370000.0,10,4504.4,Honda,Amaze SX i-DTEC
Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,543000.0,8,4275.5,Maruti,Swift VVT VXI
Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,1349000.0,12,7602.916666666667,Toyota,Fortuner 3.0 Diesel
Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,285000.0,10,3880.0,Chevrolet,Beat LT Option
Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,475000.0,11,7545.454545454545,Skoda,Rapid 1.5 TDI Elegance
Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,990000.0,6,6880.5,Maruti,Ciaz 1.4 Alpha
Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,625000.0,8,4375.0,Maruti,Swift VDI
Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,986000.0,8,6827.5,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package
Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,850000.0,12,11416.416666666666,Skoda,Superb Elegance 2.0 TDI CR AT
Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,423000.00000000006,5,2864.4,Hyundai,EON Magna Plus
Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,350000.0,12,5469.5,Volkswagen,Polo Diesel Trendline 1.2L
Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,250000.0,8,750.0,Datsun,GO NXT
Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,239000.0,11,3025.4545454545455,Honda,Brio S MT
Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,1125000.0,11,2636.3636363636365,Mercedes-Benz,B Class B180
Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,711000.0,9,4759.0,Honda,City i DTEC V
Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1090000.0,8,11250.0,Toyota,Innova 2.5 G (Diesel) 7 Seater
Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,620000.0,7,3429.285714285714,Maruti,Swift VXI Optional
Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,790000.0,12,2732.6666666666665,Mahindra,XUV500 W8 2WD
Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,442000.0,10,14789.8,Ford,Ecosport 1.5 DV5 MT Ambiente
Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,1350000.0,12,10980.416666666666,Toyota,Fortuner 4x2 Manual
Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,625000.0,11,5909.090909090909,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy
Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,210000.0,14,4723.071428571428,Ford,Figo Diesel Titanium
Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,365000.0,12,3750.0,Honda,Brio V MT
Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,275000.0,11,5454.545454545455,Hyundai,i10 Magna 1.2
Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,650000.0,5,200.0,Hyundai,Grand i10 1.2 Kappa Asta
Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,1900000.0,12,5208.333333333333,Audi,A6 2011-2015 2.0 TDI Premium Plus
Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,445000.0,11,1909.090909090909,Volkswagen,Vento Petrol Highline AT
Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,835000.0,10,2900.0,Hyundai,i20 Asta 1.4 CRDi
Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,150000.0,12,7333.333333333333,Chevrolet,Beat Diesel LT
Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,689000.0,12,4461.416666666667,Skoda,Superb Elegance 1.8 TSI AT
Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,145000.0,18,12000.0,Ford,Fiesta 1.4 TDCi EXI Limited Edition
Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,125000.0,17,6970.588235294118,Chevrolet,Optra Magnum 1.6 LS BS3
Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,420000.0,12,5250.0,Volkswagen,Polo Diesel Highline 1.2L
Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,675000.0,9,2777.777777777778,Renault,Lodgy 110PS RxZ 8 Seater
Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,750000.0,7,3539.0,Maruti,Baleno Alpha
Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,459999.99999999994,12,5166.666666666667,Hyundai,Verna 1.6 SX
Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,404000.0,7,7477.142857142857,Hyundai,i10 Magna 1.1
Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,1031000.0,8,7092.375,Mahindra,Scorpio 1.99 S10 4WD
Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,260000.0,14,8571.42857142857,Ford,Figo Diesel ZXI
Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,850000.0,8,4125.0,Maruti,Ertiga ZDI
Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,350000.0,10,5200.0,Honda,Amaze S i-Dtech
Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,355000.0,9,4841.222222222223,Hyundai,i10 Magna
Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,325000.0,11,4545.454545454545,Honda,Amaze S i-Dtech
Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,450000.0,16,7062.5,Skoda,Laura Ambiente
Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,535000.0,10,9000.0,Renault,Duster 85PS Diesel RxL
Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,650000.0,7,4142.857142857143,Mahindra,NuvoSport N6
Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,900000.0,8,2500.0,Maruti,Vitara Brezza ZDi Plus Dual Tone
Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,600000.0,8,7626.5,Hyundai,i20 Asta Option 1.2
Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,275000.0,15,5830.6,Skoda,Fabia 1.4 MPI Ambiente
Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,150000.0,14,5035.714285714285,Tata,Indigo eCS GLX
Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,1000000.0,10,7600.0,Skoda,Octavia Elegance 1.8 TSI AT
Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,300000.0,10,10400.0,Toyota,Etios Liva GD SP
Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,1196000.0,10,3724.5,Mercedes-Benz,B Class B180
Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,325000.0,11,4090.909090909091,Honda,Amaze S Diesel
Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,475000.0,12,9819.75,Hyundai,Verna 1.6 SX
Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,595000.0,10,3000.0,Renault,Duster 85PS Diesel RxL Optional
Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,815000.0,9,3006.3333333333335,Hyundai,Creta 1.6 VTVT S
Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,422000.0,8,1062.5,Maruti,Wagon R AMT VXI
Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,1050000.0,14,2178.5714285714284,Mercedes-Benz,New C-Class C250 Avantgarde
Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,290000.0,12,3666.6666666666665,Hyundai,i10 Magna 1.1
Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,890000.0,7,1500.0,Skoda,Rapid 1.6 MPI AT Style Black Package
Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,822000.0000000001,6,4194.333333333333,Hyundai,i20 Active 1.2 SX
Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,350000.0,10,6400.0,Honda,Amaze VX i-DTEC
Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,125000.0,20,3050.0,Maruti,Wagon R LXI
Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,370000.0,11,9727.272727272728,Mahindra,Verito 1.5 D4 BSIV
Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,265000.0,11,2909.090909090909,Maruti,Wagon R VXI
Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,892000.0,9,5130.333333333333,Nissan,Terrano XV Premium 110 PS Anniversary Edition
Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,85000.0,17,11764.70588235294,Tata,Indica V2 DLS BSII
